Plate Number,Time,Fine
6977,2025-03-26 20:58:59,Signal Jump
HB06F5977,2025-03-26 20:59:01,Signal Jump
F,2025-03-26 20:59:02,Signal Jump
F,2025-03-26 20:59:04,Signal Jump
F,2025-03-26 20:59:05,Signal Jump
1BH0001AA,2025-03-26 21:00:08,Signal Jump
ooo,2025-03-26 21:00:09,Signal Jump
21BH,2025-03-26 21:00:10,Signal Jump
AA,2025-03-26 21:00:11,Signal Jump
21BH,2025-03-26 21:00:13,Signal Jump
DL3CAM0857,2025-03-26 21:03:15,Signal Jump
DLJCL,2025-03-26 21:03:25,Signal Jump
'DL3C,2025-03-26 21:03:38,Signal Jump
"""DL3C",2025-03-26 21:04:22,Signal Jump
"""DL3C",2025-03-26 21:04:23,Signal Jump
"""DL3C",2025-03-26 21:04:24,Signal Jump
'DL3CAM0857,2025-03-26 21:04:27,Signal Jump
DL3C440857,2025-03-26 21:04:27,Signal Jump
NHLeF4053,2025-03-26 21:05:53,Signal Jump
L053,2025-03-26 21:05:54,Signal Jump
L053],2025-03-26 21:05:55,Signal Jump
L053],2025-03-26 21:05:58,Signal Jump
L053,2025-03-26 21:05:59,Signal Jump
do0,2025-03-26 21:06:10,Signal Jump
21BH0001AA,2025-03-26 21:06:11,Signal Jump
21BH0001AA,2025-03-26 21:06:12,Signal Jump
21BH0001AA,2025-03-26 21:06:12,Signal Jump
21BHO001AA,2025-03-26 21:06:13,Signal Jump
21BH0001AA,2025-03-26 21:06:13,Signal Jump
IND,2025-03-26 21:07:18,Signal Jump
IND,2025-03-26 21:07:20,Signal Jump
IND,2025-03-26 21:07:21,Signal Jump
california,2025-03-26 21:09:25,Signal Jump
560,2025-03-26 21:09:26,Signal Jump
MHM140,2025-03-26 21:09:27,Signal Jump
MHM140,2025-03-26 21:09:28,Signal Jump
california,2025-03-26 21:09:30,Signal Jump
california,2025-03-26 21:09:31,Signal Jump
560,2025-03-26 21:09:33,Signal Jump
california,2025-03-26 21:09:34,Signal Jump
56L,2025-03-26 21:09:35,Signal Jump
'Alifornia,2025-03-26 21:09:36,Signal Jump
21BH0001AA,2025-03-26 21:09:39,Signal Jump
21BH00OAA,2025-03-26 21:09:40,Signal Jump
21BH0001AA,2025-03-26 21:09:41,Signal Jump
21BH0001AA,2025-03-26 21:09:43,Signal Jump
21BH0001AA,2025-03-26 21:09:46,Signal Jump
"10001,",2025-03-26 21:09:47,Signal Jump
TNBBF,2025-03-27 04:34:11,Signal Jump
TNBBF,2025-03-27 04:34:13,Signal Jump
TNBBF,2025-03-27 04:34:15,Signal Jump
TNBBF,2025-03-27 04:34:16,Signal Jump
TNBBF,2025-03-27 04:34:18,Signal Jump
IND,2025-03-27 04:34:20,Signal Jump
IND,2025-03-27 04:34:22,Signal Jump
IND,2025-03-27 04:34:24,Signal Jump
TnBBF,2025-03-27 04:34:26,Signal Jump
TN88F,2025-03-27 04:34:27,Signal Jump
AD3604,2025-03-27 04:34:27,Signal Jump
Tn57,2025-03-27 04:34:28,Signal Jump
Tn88F,2025-03-27 04:34:28,Signal Jump
AD3604,2025-03-27 04:34:29,Signal Jump
ND,2025-03-27 04:34:30,Signal Jump
IND,2025-03-27 04:34:31,Signal Jump
AD3604,2025-03-27 04:34:31,Signal Jump
Tn88F,2025-03-27 04:34:32,Signal Jump
AD3604,2025-03-27 04:34:32,Signal Jump
21BH,2025-03-27 08:50:46,Signal Jump
21BHO001AA,2025-03-27 08:50:48,Signal Jump
BH0001AA,2025-03-27 08:50:49,Signal Jump
BH0001AA,2025-03-27 08:50:50,Signal Jump
21BH0001AA,2025-03-27 08:50:52,Signal Jump
21BH0001AA,2025-03-27 08:50:54,Signal Jump
21BH0001AA,2025-03-27 08:50:55,Signal Jump
